Rg;Mc;rh;rhoh;host
3.0940E+00;1.3183E+04;4.5709E+01;1.6477E+07;M83
2.4929E+00;1.3490E+04;3.5481E+00;3.6048E+10;M83
3.6451E+00;2.5119E+04;3.2359E+00;8.8487E+10;M83
2.3259E+00;3.4674E+04;8.9125E+02;5.8463E+03;M83
3.4560E+00;1.5488E+04;8.9125E+00;2.6114E+09;M83
3.7042E+00;1.2589E+04;2.9512E+00;5.8463E+10;M83
2.2451E+00;1.6596E+04;1.4791E+00;6.1218E+11;M83
2.2352E+00;1.9055E+04;1.5488E+00;6.1218E+11;M83
1.4707E+00;1.1220E+04;2.2909E+00;1.1140E+11;M83
1.8892E+00;1.2589E+04;7.4131E+00;3.6888E+09;M83
1.6843E+00;9.3325E+04;1.6218E+00;2.6114E+12;M83
2.4661E+00;1.0000E+04;1.8197E+00;1.9810E+11;M83
2.5683E+00;1.5849E+04;3.7154E+00;3.6888E+10;M83
2.3517E+00;3.2359E+04;1.9953E+00;4.8627E+11;M83
2.5679E+00;1.8197E+04;1.6982E+00;4.4349E+11;M83
1.6840E+00;2.5704E+04;5.1286E+00;2.2745E+10;M83
9.2690E-01;2.6303E+04;1.3804E+01;1.1937E+09;M83
3.4687E+00;1.7783E+04;9.3325E+00;2.6114E+09;M83
2.6191E+00;2.2909E+04;3.3113E+00;7.5315E+10;M83
1.9241E+00;3.1623E+04;1.6596E+00;8.2581E+11;M83
2.9147E+00;3.8905E+04;2.8184E+00;2.0743E+11;M83
1.0948E+00;2.6915E+04;1.6596E+01;7.0288E+08;M83
2.5259E+00;1.0965E+04;1.6982E+00;2.6723E+11;M83
1.3405E+00;1.6596E+04;2.0417E+00;2.3275E+11;M83
2.0400E+00;2.7542E+04;3.9811E+00;5.2105E+10;M83
3.0719E+00;1.7378E+04;2.5704E+00;1.2215E+11;M83
2.0098E+00;1.9953E+04;2.4547E+00;1.6102E+11;M83
2.0142E+00;1.2589E+04;1.6982E+00;3.0682E+11;M83
1.5183E+00;1.1482E+04;2.3442E+00;1.0639E+11;M83
1.5315E+00;4.7863E+04;5.3703E+00;3.6888E+10;M83
1.9396E+00;1.0233E+04;2.5704E+00;7.1925E+10;M83
2.0782E+00;1.3490E+04;2.2909E+00;1.3393E+11;M83
1.9794E+00;3.0200E+04;1.7378E+00;6.8688E+11;M83
3.6090E+00;1.9953E+04;1.9953E+00;2.9983E+11;M83
2.4297E+00;1.0965E+04;3.3884E+01;3.3642E+07;M83
2.3397E+00;1.0965E+04;1.7783E+00;2.3275E+11;M83
1.8459E+00;1.2023E+04;2.8184E+00;6.4103E+10;M83
2.8471E+00;4.1687E+04;7.0795E+01;1.4024E+07;M83
3.2352E+00;1.0715E+04;2.1380E+00;1.3088E+11;M83
2.7458E+00;1.2589E+04;1.5136E+00;4.3339E+11;M83
2.6268E+00;1.0715E+04;1.8197E+00;2.1227E+11;M83
3.1912E+00;1.7783E+04;4.6774E+00;2.0743E+10;M83
1.9707E+00;1.3804E+04;3.4674E-01;3.9526E+13;M83
2.4402E+00;8.3176E+04;2.5119E+00;6.2644E+11;M83
4.0306E+00;2.2387E+04;2.8840E-01;1.1140E+14;M83
1.9978E+00;3.3884E+04;1.4791E+02;1.2499E+06;M83
2.4520E+00;1.6982E+04;1.3183E+00;8.8487E+11;M83
1.9012E+00;5.8884E+04;2.1380E+01;7.1925E+08;M83
2.9027E+00;1.8621E+04;1.4454E+00;7.3601E+11;M83
1.8188E+00;1.8197E+04;1.0471E+07;1.8918E-09;M83
4.0305E+00;2.2909E+04;5.6234E+07;1.5377E-11;M83
3.5852E+00;1.2023E+04;5.7544E+07;7.5315E-12;M83
2.5455E+00;1.1482E+04;3.3113E+03;3.7747E+01;M83
1.8526E+00;2.2909E+04;1.9055E+02;3.9526E+05;M83
1.0407E+00;3.8019E+04;7.0795E+00;1.2790E+10;M83
2.5385E+00;1.0471E+04;2.6303E+00;6.8688E+10;M83
2.9994E+00;1.2303E+04;2.8840E+00;6.1218E+10;M83
1.3139E+00;1.1749E+04;2.2909E+00;1.1665E+11;M83
1.2580E+00;2.5119E+04;3.3113E+07;8.2581E-11;M83
3.1097E+00;1.3183E+04;2.3988E+03;1.1399E+02;M83
1.8098E+00;1.5136E+04;3.5481E+00;4.0447E+10;M83
2.0108E+00;1.0715E+04;4.0738E+00;1.8918E+10;M83
2.0742E+00;3.1623E+04;3.3113E+01;1.0396E+08;M83
2.2854E+00;1.1749E+04;3.3884E-01;3.6048E+13;M83
5.4910E+00;2.3988E+04;1.2882E+01;1.3393E+09;M83
4.3768E+00;1.5488E+04;4.4668E+00;2.0743E+10;M83
5.5116E+00;2.0893E+04;4.2658E+00;3.2128E+10;M83
5.3612E+00;3.3113E+04;3.6308E+00;8.2581E+10;M83
4.7869E+00;1.0471E+04;4.7863E+00;1.1399E+10;M83
4.3052E+00;1.5849E+04;3.3113E+00;5.2105E+10;M83
4.1218E+00;1.2023E+04;2.1878E+03;1.3705E+02;M83
5.5092E+00;1.5849E+04;2.5704E+00;1.1140E+11;M83
4.6574E+00;2.6915E+04;3.5481E+00;7.1925E+10;M83
4.3691E+00;1.2589E+04;2.6915E+00;7.7069E+10;M83
5.3792E+00;1.3183E+04;1.0965E+03;1.1937E+03;M83
4.5618E+00;1.4125E+04;8.7096E+01;2.5520E+06;M83
3.6592E+00;1.2589E+04;3.8019E+00;2.7345E+10;M83
3.3982E+00;1.1220E+04;3.0903E+00;4.5382E+10;M83
5.0840E+00;2.8184E+04;6.9183E+07;1.0160E-11;M83
3.3494E+00;1.0233E+04;1.0715E+05;9.9284E-04;M83
3.5239E+00;1.6596E+04;4.6774E+00;1.9359E+10;M83
3.5695E+00;1.4791E+04;2.2909E+00;1.4685E+11;M83
3.1589E+00;1.2303E+04;5.4954E+00;8.8487E+09;M83
3.8001E+00;7.7625E+04;1.0000E+01;9.2658E+09;M83
3.7822E+00;3.0903E+04;2.7542E+15;1.7656E-34;M83
4.0669E+00;8.7096E+05;1.9055E+01;1.5027E+10;M83
4.5314E+00;1.1220E+04;9.1201E+01;1.7656E+06;M83
3.0293E+00;2.2387E+04;3.6308E+00;5.5832E+10;M83
2.9475E+00;1.3183E+04;2.8184E+00;7.0288E+10;M83
3.6711E+00;7.2444E+04;1.0233E+02;8.0701E+06;M83
3.5370E+00;1.0000E+04;2.5119E+00;7.5315E+10;M83
2.7390E+00;1.1482E+04;1.3804E+00;5.2105E+11;M83
4.4613E+00;1.4125E+04;1.7378E+00;3.2128E+11;M83
2.9977E+00;2.6915E+04;4.8978E+00;2.7345E+10;M83
2.8171E+00;1.0000E+04;3.7154E+00;2.3275E+10;M83
3.8671E+00;1.2023E+04;1.6982E+00;2.9301E+11;M83
2.9596E+00;1.8197E+04;5.7544E+00;1.1399E+10;M83
2.9221E+00;1.0715E+04;9.5499E-01;1.4685E+12;M83
2.9280E+00;3.0200E+04;2.0417E+01;4.2353E+08;M83
3.4705E+00;4.0738E+04;1.0000E+01;4.8627E+09;M83
3.3857E+00;3.1623E+04;1.0965E+01;2.8634E+09;M83
2.5336E+00;2.2387E+04;5.6234E+00;1.5027E+10;M83
2.7250E+00;1.6218E+04;3.9811E+00;3.0682E+10;M83
3.2518E+00;5.8884E+04;3.8019E-01;1.2790E+14;M83
2.0863E+00;1.8197E+04;2.0417E+00;2.5520E+11;M83
1.8847E+00;1.2023E+04;4.1687E+00;1.9810E+10;M83
3.0889E+00;3.3113E+04;5.8884E+00;1.9359E+10;M83
2.1546E+00;1.1749E+04;6.3096E+02;5.5832E+03;M83
3.1780E+00;1.4454E+04;5.7544E+04;9.0549E-03;M83
2.1033E+00;1.4454E+04;1.2882E+00;8.0701E+11;M83
2.9095E+00;2.8840E+04;1.0471E+01;2.9983E+09;M83
3.9478E+00;1.0000E+04;3.0200E+00;4.3339E+10;M83
3.5623E+00;1.0233E+04;1.8197E+00;2.0271E+11;M83
4.1182E+00;2.0417E+04;2.6915E+00;1.2499E+11;M83
3.4409E+00;1.0000E+04;2.2387E+02;1.0639E+05;M83
3.9853E+00;1.2023E+04;8.1283E+03;2.6723E+00;M83
3.3416E+00;4.7863E+04;3.0903E+01;1.9359E+08;M83
3.7942E+00;4.3652E+04;2.2387E+01;4.6439E+08;M83
4.5787E+00;1.0715E+04;7.4131E+04;3.1397E-03;M83
4.1995E+00;4.0738E+04;2.0417E+04;5.7132E-01;M83
3.3868E+00;1.7378E+04;9.5499E+04;2.3817E-03;M83
3.6920E+00;2.1878E+04;1.3490E+01;1.0639E+09;M83
3.1778E+00;1.4454E+04;5.0119E+00;1.3705E+10;M83
3.4698E+00;1.0471E+04;2.2387E+00;1.1140E+11;M83
2.9411E+00;1.3183E+04;1.9055E+01;2.2745E+08;M83
3.2791E+00;1.2589E+04;2.2909E+00;1.2499E+11;M83
2.4641E+00;1.3183E+04;1.4125E+05;5.5832E-04;M83
2.4136E+00;1.2589E+04;1.9953E+00;1.8918E+11;M83
4.0363E+00;1.1220E+04;2.5704E+00;7.8864E+10;M83
3.6830E+00;1.3183E+04;1.0471E+01;1.3705E+09;M83
2.0457E+00;1.1482E+04;7.4131E+06;3.3642E-09;M83
4.0932E+00;1.2023E+04;1.8621E+01;2.2227E+08;M83
3.8186E+00;1.3490E+04;2.8840E+00;6.7125E+10;M83
3.4023E+00;1.1749E+04;4.6774E+04;1.3705E-02;M83
4.5851E+00;1.5488E+04;2.8840E+00;7.7069E+10;M83
4.1766E+00;1.0233E+04;2.5704E+04;7.1925E-02;M83
1.8299E+00;1.3183E+04;1.5849E+00;3.9526E+11;M83
4.1560E+00;1.3490E+04;2.8184E+00;7.1925E+10;M83
4.3163E+00;1.0000E+04;7.4131E+02;2.9301E+03;M83
4.3652E+00;1.6982E+04;2.5119E+00;1.2790E+11;M83
5.0974E+00;1.9055E+04;2.5119E+00;1.4351E+11;M83
5.9676E+00;2.4547E+04;9.7724E+00;3.1397E+09;M83
4.7007E+00;1.5488E+04;1.0000E+05;1.8488E-03;M83
4.1294E+00;5.8884E+04;1.0000E+01;7.0288E+09;M83
4.0650E+00;2.9512E+04;2.6915E+01;1.8067E+08;M83
3.4685E+00;2.3442E+04;3.7154E+00;5.4561E+10;M83
5.9484E+00;3.4674E+04;8.1283E+00;7.7069E+09;M83
4.7684E+00;1.3804E+04;5.0119E+01;1.3088E+07;M83
5.6829E+00;1.0471E+04;3.7154E+14;2.4371E-32;M83
3.8410E+00;1.0000E+04;3.3884E+00;3.0682E+10;M83
